trustworthiness,continuity,distance_corr,mrre,n_neighbors,min_dist,n_components,runtime_s,composite_score
0.9220198320381462,0.9891583758187728,0.5763327878921257,0.7268401922427263,5,0.0,2,0.3338799476623535,0.5261170079459929
0.9271238594928146,0.9893052186968933,0.5572763530341486,0.7790519596609843,5,0.0,3,0.3167548179626465,0.45877791037079074
0.9174734775363395,0.9890453563002194,0.5781003462975904,0.718329613672459,5,0.1,2,0.3257431983947754,0.5087873931369097
0.9275148905278094,0.9893868897358478,0.5649297422488281,0.7431466819687237,5,0.1,3,0.32402873039245605,0.5298748966327436
0.9130368427131285,0.9889867841409692,0.5755024538360547,0.7132136455829974,5,0.3,2,0.31454920768737793,0.4841934829572825
0.9296993845798479,0.9893654407761223,0.5914406321685777,0.6843658298276968,5,0.3,3,0.31598687171936035,0.6660363314916371
0.9163441073107954,0.9890305070204095,0.5945166782107326,0.6826607826579767,5,0.5,2,0.31029295921325684,0.5804223405686909
0.9324176277450543,0.9894858849345807,0.6169346131690289,0.6024595044914071,5,0.5,3,0.3100593090057373,0.8461530623991217
0.919927733504925,0.9898117441304096,0.5326891101396761,0.7434706546127777,10,0.0,2,0.4564816951751709,0.4713868498467443
0.9287515055519807,0.9900567572472735,0.53814896054283,0.7118907412315686,10,0.0,3,0.4699528217315674,0.587300234907754
0.9240682076919269,0.9898562919698395,0.5380486441722755,0.7129183739622039,10,0.1,2,0.45412182807922363,0.5450700047390468
0.9311207906416539,0.9901796762857001,0.564400591362753,0.6620225801797951,10,0.1,3,0.47026658058166504,0.7257894949270963
0.9149128017291162,0.989557656453662,0.6018257595815587,0.685182227032357,10,0.3,2,0.45304012298583984,0.6342019350834276
0.9329489019782541,0.9903438433235988,0.5535856018006876,0.6551631231390793,10,0.3,3,0.47503662109375,0.7376828486875856
0.9113836228942896,0.9894726855747497,0.5594055703898523,0.7198430220144667,10,0.5,2,0.4583311080932617,0.48227035022062537
0.9314103515979475,0.9902555726047286,0.5932196817606549,0.6035526379845527,10,0.5,3,0.47342562675476074,0.866334968275338
0.9200993251827286,0.9893382170964709,0.5542790234950458,0.7785435191200508,15,0.0,2,0.5857043266296387,0.4239418633987442
0.928019766041347,0.9899495124486463,0.5783681310756017,0.6703802201422057,15,0.0,3,0.598947286605835,0.7059231522145325
0.9185154020030029,0.9893184180567243,0.5591654788928868,0.6963162793656491,15,0.1,2,0.5840268135070801,0.5312080289262003
0.9312362850401755,0.9899990100480127,0.5727256447360187,0.6535174264101384,15,0.1,3,0.5957908630371094,0.7365803847325573
0.9150546948473,0.9891658004586777,0.6025537209825489,0.6550472356493143,15,0.3,2,0.588632345199585,0.6386696836374998
0.9297150588196472,0.9899767361282977,0.5861279884749659,0.6191407260367481,15,0.3,3,0.5962121486663818,0.7981552385094793
0.9076622283819235,0.9890016334207791,0.617591848855007,0.6416210249824837,15,0.5,2,0.5871429443359375,0.6354142652146022
0.9261908297447574,0.9897795706908215,0.6269388678369731,0.5869888775600238,15,0.5,3,0.6071138381958008,0.8842617011825958
0.9035217541949215,0.988544605586629,0.5309422778254276,0.7686617237612103,30,0.0,2,0.9892928600311279,0.23953943138215839
0.9119833688066129,0.9888292167829861,0.5142232938584768,0.7505669488069006,30,0.0,3,0.982506513595581,0.2968714844399013
0.8977816825883944,0.988495932947252,0.5610887525041497,0.732184702784974,30,0.1,2,0.9728448390960693,0.3141882528959258
0.913208434390932,0.9888490158227325,0.5513476250641606,0.6944484682704366,30,0.1,3,0.9944534301757812,0.4495734725457956
0.8930002144895972,0.9883334158293323,0.6073271672205508,0.6779027017987521,30,0.3,2,0.9642114639282227,0.43702802797055784
0.9163614314705737,0.9891732250985827,0.5982974036331498,0.6398097891319747,30,0.3,3,1.0029098987579346,0.657035744818863
0.8897556468511277,0.988246795030441,0.623986180559768,0.666055875525297,30,0.5,2,0.9779841899871826,0.4615091680601042
0.9186770941609332,0.9890618555000082,0.6221234796095111,0.6072791363780976,30,0.5,3,0.994626522064209,0.7459757408322826
0.8855582504248544,0.9878640135953406,0.5806507222760463,0.7786852106982517,50,0.0,2,1.4922332763671875,0.17520094909965356
0.896672111402597,0.9882583444702931,0.565252220901919,0.7628004197648469,50,0.0,3,1.5033600330352783,0.2549101764494457
0.8815860680756983,0.9877014964774209,0.6065532477761945,0.7414738859066168,50,0.1,2,1.4624481201171875,0.24011484982889364
0.898072893464667,0.9882228711907473,0.6004333679763328,0.7075077867503274,50,0.1,3,1.5439941883087158,0.3983890658498018
0.8813187810391196,0.9878293652757841,0.6192985408157333,0.7144387132445861,50,0.3,2,1.4589204788208008,0.3108223516400531
0.8993161081687538,0.9881783233513175,0.6186015820823446,0.6752745959738108,50,0.3,3,1.4809629917144775,0.47723348152585976
0.8793760002639872,0.9876841723176426,0.6429891703934987,0.6865327310666163,50,0.5,2,1.462890625,0.3704281785732957
0.8996139187249419,0.9882525697503671,0.6362097199321931,0.6368277425167748,50,0.5,3,1.4792156219482422,0.5698330422418751
